Year,Month,Day,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
1992,4,3,0.8,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,21.5,0,0.5,0,0,0,0,0
1992,4,4,0,0,3,0,1.7,0,0,4,0,8,0,0,0,24.5,0.5,0,0,90.5,1,0,49,0,0,0
1992,4,5,23.9,0,0,0.5,0,0,0.5,0,3.5,13,0,0,0,26.5,0.5,0,3.5,77.5,0,19,94.5,0,0,0
1992,4,6,11.5,0,9.5,1.5,1.8,0,0,8,3,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0
1992,4,7,6.3,0,0,5.5,1,0,0.5,0,0,0,0,2,0,0,8,0,0,13,42.5,1,0,0,0,0
1992,4,8,0,0,2,0.5,27.9,0,19.5,0,0,0,0,14,0,31,2,0,0,0,0,0,0,0,3,0
1992,4,9,2.2,50.6,0,93,54.6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,21.5,0
1992,4,10,0,0,0,0.5,0.8,0,0,0,0,0,0,0,0,1,0,0,3,0.5,0.5,0,0,0,0,0
1992,4,11,0,0.8,1,0.5,0.9,0,0,7,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1992,4,12,8,0,1,23.5,3.1,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,24.5,0,0,0,0
1992,4,13,Trace,0,6.5,2.5,0,0,0,1.5,0,0,0,42.5,0,0,0,0,0,0,0,28.5,0,0,0,0
1992,4,14,0,2.2,0,0,28,0,0,4,0,0,0,12,0,5.5,0.5,0,0,11,0,5,0,0,0,0
1992,4,15,148.4,0,1.5,49,5.5,0,0,0,0,1,0,0,0.5,3,0,0,0,6,0,5,0,0,0,0
1992,4,16,11.3,0,2.5,20,0.2,0,50,1,0,0,0,0,15.5,1,0,0,111,0,0,55,0,0,0,0
1992,4,17,2.1,0,0,2.5,0,0,1,0,5.5,0,0,0,5,5.5,0,0,0.5,0,0,96.5,0,0,0,0
1992,4,18,45.3,0,0.5,0.5,0,0,0,11,0,0,0,0,0.5,0.5,0,0,2,0,0,89.5,2.5,0,5,0
1992,4,19,20.2,0,0,1,5.4,0,0,0,0,0.5,0,0,6,1,0.5,0,67,0,0,134,32.5,22,28.5,0
1992,4,20,1.5,16,6.5,0,181.7,40,0,0,0,2,0,0,0,1.5,0,0,0,0,0,3,0,0,2.5,0
1992,4,21,Trace,14.4,0,0,0,0,42,0,0,0,0,3.5,0,0.5,0,0,0,0,0,0,0,0,2.5,0
1992,4,22,0,0,0,0,0,6,77,0,0,0,0,26,0,0,0,7,0,0,0,0,1,0.5,13.5,0
1992,4,23,15.6,7.6,0,0,1.6,0.5,0.5,0,0,0,0,24.5,0,0,1.5,4,0,0,0,0,50,0,0.5,0
1992,4,24,17.1,25.9,0,0.5,19.1,1,10.5,0,0,0,0,4.5,15,0,1,0,0,0,0,46,33,0,3,0
1992,4,25,0.5,10.3,0,0,1.1,0,0,39,0,0,0,9.5,0,0,0,0,0,0,0,0,8,0,0,0
1992,4,26,2.6,0,0,32,0,0,0,1,0,0,0,3.5,0,0,1,0,0,0,0,0,3.5,0,0,0
1992,4,27,2.8,0,35.5,1,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0.5,0,2,0,0,0,0
1992,4,28,7.4,0,1,7.5,0,0,0,0,0,0,0,2,0,0,34,0,0,0,0,0,0,0,0,1
1992,4,29,1,0,0,6,0,0,0,0,0,0,0,16,0,0,18,0.5,7.5,0,0,0,12.5,0,0,0
1992,4,30,10,0,0,0,0,0,9,0,0,0,0,17,0,0,2.5,0,0,0,0,0,79.5,0,8.5,0.5
1992,5,1,18.6,0.9,3,0.5,0,0,0,0,0,0,0,112.5,0,1,0.5,0,0,0,0,0,1,0,3,0.5
1992,5,2,14.4,0,1,6.5,0,0,0,0,0,7.5,0,20.5,0,0.5,0,0,0,0,0,0,9,0,10.5,0
1992,5,3,31.5,19.5,0,4,0,0,1,41.5,0,3,0,2,0,0,0,0,0,0,0,0.5,37,0,4,0
1992,5,4,51.8,0,7.5,0,0.4,0,9,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,72,0,0,0
1992,5,5,101.4,12,31.5,0,0,0,1,5.5,0,0,0,0,0,0,1.5,0,0,0,0,0,241.5,0,0,0
1992,5,6,43.7,3.3,0,0,0,0,2.5,24,0,0,9,1.5,0,0.5,2,8,0,1,0,0,15.5,0,0,2.5
1992,5,7,0.5,15.3,7.5,0,0,0,8,0,0,0,0.5,0.5,0,0,0,0,9.5,1,0,0,3,0,2,0
1992,5,8,7.9,0.5,26,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1.5,0,8.5,0,4.5,0
1992,5,9,2.8,0.3,1,1,0,0,0,0,0,0,0,83,0,0.5,0,0,0,0,0,0,11,0,0,0
1992,5,10,25.1,3.9,0,0,0,0,18.5,0,0,0,0,7,0,0.5,0.5,0,85,0,39.5,0,1,0,0,0
1992,5,11,13.6,0.8,0,0.5,2.8,1,6,8.5,0,0,0,22.5,2,0,1,0,0,0,0,0,3,0,0,0
1992,5,12,14.2,0,0,0.5,0.2,2.5,3.5,0,0,0,0,60.5,0,0.5,0.5,0,0,0,3,0,195.5,0.5,0,0
1992,5,13,0,0,7,9.5,5,0,2.5,0,2,0,0,0.5,0,0,0,0,0,0,105,0,13,0,0,0
