Year,Month,Day,CheungChau,HongKongInternationalAirport,HongKongObservatory,KaiTak,KauSaiChau,KingsPark,LauFauShan,PengChau,ShaTin,ShamShuiPo,ShauKeiWan,ShekKong,SheungShui,TaiMeiTuk,TaiMoShan,TatesCairn,TauKwuLing,ThePeak,TsahYueWu,TseungKwanO,TsingYi,TsuenWan,TuenMum ChildrenAndJuvenileHome,WaglanIsland,WestLandPark,Average_Rainfall
1884,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,7.0,,,50.6,,,,,,,,,,,,,,,,,,,,,,,50.6
1884,3.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,9.0,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.8
1884,3.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,11.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,12.0,,,2.2,,,,,,,,,,,,,,,,,,,,,,,2.2
1884,3.0,13.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,14.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,15.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,16.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,17.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,18.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,16.0
